"VGC id","Name","Platform","Notes","Cart","Box","Manual","Other","Purchased Price","Purchased Date","Added",
"60943","'Splosion Man","Xbox Games Store (X360) [EU]","","No","No","No","No","","0000-00-00","2017-01-24 19:13:17",
"180532","13 Sentinels: Aegis Rim","PlayStation 4 [EU]","","No","No","No","No","","0000-00-00","2022-04-29 08:40:28",
"51882","1945 I & II: The Arcade Games","PlayStation 2 [EU]","","No","No","No","No","0.00","0000-00-00","2015-04-15 17:10:04",
"55700","24: The Game - Steelbook Edition","PlayStation 2 [EU]","","No","No","No","No","0.00","0000-00-00","2015-04-15 13:13:25",
"19326","3rd Birthday, The - Twisted Edition","PlayStation Portable [EU]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2015-04-12 17:52:54",
"65376","Action Man: Destruction X","PlayStation [EU]","","No","No","No","No","0.00","0000-00-00","2015-04-15 10:08:41",
"63711","After Burner Climax","Xbox Games Store (X360) [EU]","","No","No","No","No","","0000-00-00","2017-01-24 19:15:13",
"42132","Akai Katana","Xbox 360 [EU]","","No","No","No","No","","0000-00-00","2015-04-23 05:06:46",
"47588","Alan Wake - Limited Collector's Edition (K3F00004)","Xbox 360 [EU]","","No","No","No","No","0.00","0000-00-00","2015-04-13 14:52:14",
"102833","Alan Wake's American Nightmare","Xbox Games Store (X360) [EU]","","No","No","No","No","","0000-00-00","2022-12-16 14:17:15",
"81060","Alone in the Dark - Limited Edition [AT][CH][DE]","Xbox 360 [EU]","","No","No","No","No","0.00","0000-00-00","2015-04-13 14:50:46",
"30316","Altered Beast","Sega Mega Drive [EU]","","Yes","Yes","Yes","No","0.00","0000-00-00","2015-04-12 18:01:51",
"41374","Altered Beast","PlayStation 2 [EU]","","No","No","No","No","0.00","0000-00-00","2015-04-15 17:10:10",
"81610","Anarchy Reigns - Limited Edition","Xbox 360 [EU]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2015-04-12 17:34:36",
"42900","Arcade Smash Hits","Sega Master System [EU]","","No","No","No","No","","0000-00-00","2015-04-13 14:22:09",
"72144","Assassin's Creed","Nintendo DS [EU]","","No","No","No","No","","0000-00-00","2022-02-17 09:55:05",
"124306","Assassin's Creed","Xbox 360 [EU]","","No","No","No","No","","0000-00-00","2015-11-02 09:42:52",
"97119","Assassin's Creed Chronicles","PlayStation 4 [EU]","","No","No","No","No","0.00","0000-00-00","2017-05-18 12:44:48",
"85293","Assassin's Creed II","Xbox 360 [EU]","","No","No","No","No","","0000-00-00","2015-11-02 09:43:04",
"20199","Assassin's Creed II: Discovery","Nintendo DS [EU]","","No","No","No","No","","0000-00-00","2022-02-25 09:12:18",
