Index,Jogo,Consola
1,'Splosion Man,Xbox Games Store (X360) [EU]
2,13 Sentinels: Aegis Rim,PlayStation 4 [EU]
3,1945 I & II: The Arcade Games,PlayStation 2 [EU]
4,24: The Game - Steelbook Edition,PlayStation 2 [EU]
5,"3rd Birthday, The - Twisted Edition",PlayStation Portable [EU]
6,Action Man: Destruction X,PlayStation [EU]
7,After Burner Climax,Xbox Games Store (X360) [EU]
8,Akai Katana,Xbox 360 [EU]
9,Alan Wake - Limited Collector's Edition (K3F00004),Xbox 360 [EU]
10,Alan Wake's American Nightmare,Xbox Games Store (X360) [EU]
11,Alone in the Dark - Limited Edition [AT][CH][DE],Xbox 360 [EU]
12,Altered Beast,Sega Mega Drive [EU]
13,Altered Beast,PlayStation 2 [EU]
14,Anarchy Reigns - Limited Edition,Xbox 360 [EU]
15,Arcade Smash Hits,Sega Master System [EU]
16,Assassin's Creed,Nintendo DS [EU]
17,Assassin's Creed,Xbox 360 [EU]
18,Assassin's Creed Chronicles,PlayStation 4 [EU]
19,Assassin's Creed II,Xbox 360 [EU]
20,Assassin's Creed II: Discovery,Nintendo DS [EU]
21,Assassin's Creed III,Xbox 360 [EU]
22,Assassin's Creed III: Liberation,PlayStation Vita [EU]
23,Assassin's Creed IV: Black Flag [NL],Xbox 360 [EU]
24,Assassin's Creed Odyssey,PlayStation 4 [EU]
25,Assassin's Creed Origins (300096480),PlayStation 4 [EU]
26,Assassin's Creed Rogue [ES],Xbox 360 [EU]
27,Assassin's Creed Syndicate,PlayStation 4 [EU]
28,Assassin's Creed Unity - Special Edition,PlayStation 4 [EU]
29,Assassin's Creed Valhalla,PlayStation 5 [EU]
30,Assassin's Creed: Bloodlines,PlayStation Portable [EU]
31,Assassin's Creed: Brotherhood,Xbox 360 [EU]
32,Assassin's Creed: Revelations - Special Edition,Xbox 360 [EU]
33,Asura's Wrath,Xbox 360 [EU]
34,Balan Wonderworld,PlayStation 4 [EU]
35,Band Hero - Band Kit,Xbox 360 [EU]
36,Baten Kaitos I & II HD Remaster [UK],Nintendo Switch [EU]
37,Batman: Arkham Asylum (Villain Challenge Map),Xbox 360 [EU]
38,Batman: Arkham City [UK],Xbox 360 [EU]
39,Batman: Arkham Origins [DK][FI][NO][SE],Xbox 360 [EU]
40,Battlefield 3,PlayStation 3 [EU]
41,Bayonetta - Climax Edition,Xbox 360 [EU]
42,Bayonetta 2,Nintendo Switch [EU]
43,Bayonetta 3,Nintendo Switch [EU]
44,Bayonetta Origins: Cereza and the Lost Demon,Nintendo Switch [EU]
45,"Beatles, The: Rock Band",Xbox 360 [EU]
46,Beyblade: Let it Rip!,PlayStation [EU]
47,Beyblade: Metal Fusion Cyber Pegasus,Nintendo DS [EU]
48,Beyond Good & Evil,Xbox [EU]
49,Beyond: Two Souls,PlayStation 3 [EU]
50,Binary Domain,Xbox 360 [EU]
51,BioShock,Xbox 360 [EU]
52,BioShock 2 - Special Edition,Xbox 360 [EU]
53,Black,Xbox [EU]
54,BlazBlue: Calamity Trigger - Limited Edition,Xbox 360 [EU]
55,BlazBlue: Continuum Shift - Limited Edition,Xbox 360 [EU]
56,BlazBlue: Continuum Shift Extend - Limited Edition,Xbox 360 [EU]
57,Blinx: The Time Sweeper,Xbox [EU]
58,Bloodborne,PlayStation 4 [EU]
59,Blue Dragon,Xbox 360 [EU]
60,Blur,Xbox 360 [EU]
61,Braid,Xbox Games Store (X360) [EU]
62,Brütal Legend,Xbox 360 [EU]
63,Bugs Bunny: Lost in Time,PlayStation [EU]
64,Burnout 3: Takedown,PlayStation 2 [EU]
65,Bust-A-Move 3 DX,PlayStation [EU]
66,Call of Duty 4: Modern Warfare - Limited Collector's Edition,Xbox 360 [EU]
67,Call Of Duty: Classic,Xbox Games Store (X360) [EU]
68,Call of Duty: Modern Warfare 2 - Hardened Edition,Xbox 360 [EU]
69,Canis Canem Edit,PlayStation 2 [EU]
70,Captain Toad: Treasure Tracker,Nintendo Switch [EU]
71,Captain Tsubasa: Rise of New Champions,PlayStation 4 [EU]
72,Castle Crashers,Xbox Games Store (X360) [EU]
73,Castlevania: Lords of Shadow - Mirror of Fate HD,Xbox Games Store (X360) [EU]
74,Catherine - Stray Sheep Edition,Xbox 360 [EU]
75,Chaos Legion,PlayStation 2 [EU]
76,Child of Eden,Xbox 360 [EU]
77,Christmas Nights into Dreams... (jewel case),Sega Saturn [EU]
78,ChuChu Rocket!,Sega Dreamcast [EU]
79,Classic Collection,Sega Mega Drive [EU]
80,Clockwork Knight,Sega Saturn [EU]
81,Clockwork Knight 2,Sega Saturn [EU]
82,Code Vein,PlayStation 4 [EU]
83,Comix Zone,Sega Mega Drive [EU]
84,Concrete Genie,PlayStation 4 [EU]
85,"Conduit, The - Special Edition",Wii [EU]
